"DLL Page Link","Record title","Alternative Title","Work Authority","Work Abbreviated","Has Part","Part Of","References","Creator","Attributed to","Dubious/Spurious Attribution","DLL Identifier","PHI Number","Stoa Number","CTS URN"
"https://catalog.digitallatin.org/dll-work/W123","","","LLT-A","","","","","Thomas, Aquinas, Saint","","","W123","","",""
"https://catalog.digitallatin.org/dll-work/W3716","","","Perseus Catalog","","","","","Athanasius, Saint, Patriarch of Alexandria","","","W3716","","stoa0038.stoa001","urn:cts:latinLit:stoa0038.stoa001"
"https://catalog.digitallatin.org/dll-work/W2065","","","LLT-B","","","Commentum Terentii","","Donatus, Aelius","","","W2065","","stoa0110.stoa009a","urn:cts:latinLit:stoa0110.stoa009a"
"https://catalog.digitallatin.org/dll-work/W153","","Adversus Nationes \ Disputationum Adversus Gentes","LLT-A","","","","","Arnobius, of Sicca","","","W153","","stoa0034.stoa001","urn:cts:latinLit:stoa0034.stoa001"
"https://catalog.digitallatin.org/dll-work/W445","","","LLT-B","","","","","Agennius Urbicus","","","W445","","stoa0012a.stoa001 ","urn:cts:latinLit:stoa0012a.stoa001 "
"https://catalog.digitallatin.org/dll-work/W1245","","","Perseus Catalog","","","","","Arator, Subdiaconus","","","W1245","","stoa0031a.stoa003","urn:cts:latinLit:stoa0031a.stoa003"
"https://catalog.digitallatin.org/dll-work/W1253","","","Perseus Catalog","","","","","Arator, Subdiaconus","","","W1253","","stoa0031a.stoa002","urn:cts:latinLit:stoa0031a.stoa002"
"https://catalog.digitallatin.org/dll-work/W5031","","","LLT-B","","","","","Donatus, Aelius","","","W5031","","stoa0110.stoa002a","urn:cts:latinLit:stoa0110.stoa002a"
"https://catalog.digitallatin.org/dll-work/W5097","","","Perseus Catalog","","","","","Arator, Subdiaconus","","","W5097","","stoa0031a.stoa004","urn:cts:latinLit:stoa0031a.stoa004"
"https://catalog.digitallatin.org/dll-work/W5099","","","LLT-A","","","","","Arator, Subdiaconus","","","W5099","","stoa0031a.stoa001","urn:cts:latinLit:stoa0031a.stoa001"
"https://catalog.digitallatin.org/dll-work/W5218","","","LLT-A","","","","","Antonino, of Piacenza, Saint","","","W5218","","stoa0028e.stoa001","urn:cts:latinLit:stoa0028e.stoa001"
"https://catalog.digitallatin.org/dll-work/W4035","","De magia","PHI","Apol. (OLD)","","","","Apuleius","","","W4035","phi1212.001","stoa0030.stoa001","urn:cts:latinLit:phi1212.phi001"
"https://catalog.digitallatin.org/dll-work/W1992","","","Perseus Catalog","","","","","Anastasius I, Pope","","","W1992","","stoa0024c.stoa001","urn:cts:latinLit:stoa0024c.stoa001"
"https://catalog.digitallatin.org/dll-work/W1955","","","Perseus Catalog","","","","","Anastasius I, Pope","","","W1955","","stoa0024c.stoa002","urn:cts:latinLit:stoa0024c.stoa002"
"https://catalog.digitallatin.org/dll-work/W1987","","","Perseus Catalog","","","","","Anastasius I, Pope","","","W1987","","stoa0024c.stoa002?","urn:cts:latinLit:stoa0024c.stoa002?"
"https://catalog.digitallatin.org/dll-work/W2034","","","LLT-B","","","Commentum Terentii","","Donatus, Aelius","","","W2034","","stoa0110.stoa009b","urn:cts:latinLit:stoa0110.stoa009b"
"https://catalog.digitallatin.org/dll-work/W5032","","","LLT-B","","","Commentum Terentii","","Donatus, Aelius","","","W5032","","stoa0110.stoa009c","urn:cts:latinLit:stoa0110.stoa009c"
"https://catalog.digitallatin.org/dll-work/W2082","","","LLT-B","","","Commentum Terentii","","Donatus, Aelius","","","W2082","","stoa0110.stoa009d","urn:cts:latinLit:stoa0110.stoa009d"
"https://catalog.digitallatin.org/dll-work/W2055","","","LLT-B","","","Commentum Terentii","","Donatus, Aelius","","","W2055","","stoa0110.stoa009e","urn:cts:latinLit:stoa0110.stoa009e"
"https://catalog.digitallatin.org/dll-work/W2037",""," Ars minor","LLT-B","","","Ars grammatica","","Donatus, Aelius","","","W2037","","stoa0110.stoa001","urn:cts:latinLit:stoa0110.stoa001"
"https://catalog.digitallatin.org/dll-work/W2033","","","LLT-B","","","","","Donatus, Aelius","","","W2033","","stoa0110.stoa011","urn:cts:latinLit:stoa0110.stoa011"
"https://catalog.digitallatin.org/dll-work/W2078","","Ars maior I","LLT-B","","","Ars grammatica","","Donatus, Aelius","","","W2078","","",""
"https://catalog.digitallatin.org/dll-work/W2083",""," Ars maior II","LLT-B","","","Ars grammatica","","Donatus, Aelius","","","W2083","","",""
"https://catalog.digitallatin.org/dll-work/W2058","","Ars maior III","LLT-B","","","Ars grammatica","","Donatus, Aelius","","","W2058","","",""
"https://catalog.digitallatin.org/dll-work/W2061","","","LLT-B","","","","","Donatus, Aelius","","","W2061","","stoa0110.stoa012","urn:cts:latinLit:stoa0110.stoa012"
"https://catalog.digitallatin.org/dll-work/W2081","","","LLT-A","","","","","Donatus, Aelius","","","W2081","","stoa0110.stoa010","urn:cts:latinLit:stoa0110.stoa010"
"https://catalog.digitallatin.org/dll-work/W2084","","","LLT-A","","","","","Donatus, Aelius","","","W2084","","stoa0110a.stoa002","urn:cts:latinLit:stoa0110a.stoa002"
"https://catalog.digitallatin.org/dll-work/W2485","","","LLT-B","","","","","Aquila, Romanus","","","W2485","","stoa0030b.stoa001","urn:cts:latinLit:stoa0030b.stoa001"
"https://catalog.digitallatin.org/dll-work/W2526","","Arnobii Catholici et Serapionis Conflictus de Deo Trino et Uno","LLT-A","","","","","Arnobius, the Younger","","","W2526","","stoa0034a.stoa002","urn:cts:latinLit:stoa0034a.stoa002"
"https://catalog.digitallatin.org/dll-work/W2527","","","LLT-A","","","","","Arnobius, the Younger","","","W2527","","",""
"https://catalog.digitallatin.org/dll-work/W2552","","","LLT-A","","","","","Arnobius, the Younger","","","W2552","","",""
"https://catalog.digitallatin.org/dll-work/W2533","","","LLT-A","","","","","Arnobius, the Younger","","","W2533","","",""
"https://catalog.digitallatin.org/dll-work/W2523","","","LLT-A","","","","","Arnobius, the Younger","","","W2523","","stoa0034a.stoa003","urn:cts:latinLit:stoa0034a.stoa003"
"https://catalog.digitallatin.org/dll-work/W3650","","","LLT-A","","","","","Ambrosiaster","","","W3650","","stoa0022a.stoa00d","urn:cts:latinLit:stoa0022a.stoa00d"
"https://catalog.digitallatin.org/dll-work/W3654","","","LLT-A","","","","","Ambrosiaster","","","W3654","","",""
"https://catalog.digitallatin.org/dll-work/W3652","","","Perseus Catalog","","","","","Amoenus","","","W3652","","stoa0023a.stoa003","urn:cts:latinLit:stoa0023a.stoa003"
"https://catalog.digitallatin.org/dll-work/W3680","","","LLT-A","","","","","Ambrosiaster","","","W3680","","stoa0022a.stoa001","urn:cts:latinLit:stoa0022a.stoa001"
"https://catalog.digitallatin.org/dll-work/W3668","","","Perseus Catalog","","","","","Amoenus","","","W3668","","stoa0023a.stoa002","urn:cts:latinLit:stoa0023a.stoa002"
"https://catalog.digitallatin.org/dll-work/W3691","","","Perseus Catalog","","","","","Amoenus","","","W3691","","stoa0023a.stoa001","urn:cts:latinLit:stoa0023a.stoa001"
"https://catalog.digitallatin.org/dll-work/W3912","","Rerum Gestarum (Res Gestae A fine Corneli Tacti);Rerum Gestarum Libri XXXI","LLT-A","","","","","Ammianus Marcellinus","","","W3912","","stoa0023.stoa001","urn:cts:latinLit:stoa0023.stoa001"
"https://catalog.digitallatin.org/dll-work/W4045","","","PHI","Soc. (OLD)","","","","Apuleius","","","W4045","phi1212.004","stoa0030.stoa002","urn:cts:latinLit:phi1212.phi004"
"https://catalog.digitallatin.org/dll-work/W4032","","","PHI","Pl. (OLD)","","","","Apuleius","","","W4032","phi1212.009","stoa0030.stoa003","urn:cts:latinLit:phi1212.phi009"
"https://catalog.digitallatin.org/dll-work/W4060","","","PHI","","","","","Apuleius","","","W4060","phi1212.005","","urn:cts:latinLit:phi1212.phi005"
"https://catalog.digitallatin.org/dll-work/W4049","","","PHI","","","","","Apuleius","","Dubiously/Spuriously Attributed","W4049","phi1212.010","","urn:cts:latinLit:phi1212.010"
"https://catalog.digitallatin.org/dll-work/W4055","","","PHI","Mun. (OLD)","","","","Apuleius","","","W4055","phi1212.008","stoa0030.stoa004","urn:cts:latinLit:phi1212.phi008"
"https://catalog.digitallatin.org/dll-work/W4088","","","PHI","","","","","Apuleius","","","W4088","phi1212.007","","urn:cts:latinLit:phi1212.phi007"
"https://catalog.digitallatin.org/dll-work/W4047","","Asinus Aureus","PHI","Met. (OLD)","","","","Apuleius","","","W4047","phi1212.002","stoa0030.stoa007","urn:cts:latinLit:phi1212.phi002"
"https://catalog.digitallatin.org/dll-work/W4053","","","LLT-A","","","","","Apuleius","","","W4053","","",""
"https://catalog.digitallatin.org/dll-work/W4085","","","PHI","","","","","Apuleius","","","W4085","phi1212.006","stoa0030.stoa006?","urn:cts:latinLit:phi1212.phi006"
"https://catalog.digitallatin.org/dll-work/W4083","","","PHI","Fl. (OLD)","","","","Apuleius","","","W4083","phi1212.003","stoa0030.stoa005","urn:cts:latinLit:phi1212.phi003"
"https://catalog.digitallatin.org/dll-work/W2233","","","LLT-A","","","","","Augustine, of Hippo, Saint, 354-430","","","W2233","","stoa0040.stoa018","urn:cts:latinLit:stoa0040.stoa018"
"https://catalog.digitallatin.org/dll-work/W2229","","","LLT-A","","","","","Augustine, of Hippo, Saint, 354-430","","","W2229","","stoa0040a.stoa004","urn:cts:latinLit:stoa0040a.stoa004"
"https://catalog.digitallatin.org/dll-work/W2261","","","LLT-A","","","","","Augustine, of Hippo, Saint, 354-430","","","W2261","","stoa0040.stoa014a","urn:cts:latinLit:stoa0040.stoa014a"
"https://catalog.digitallatin.org/dll-work/W2228","","","LLT-A","","","","","Augustine, of Hippo, Saint, 354-430","","","W2228","","stoa0040.stoa017","urn:cts:latinLit:stoa0040.stoa017"
"https://catalog.digitallatin.org/dll-work/W2268","","","LLT-A","","","","","Augustine, of Hippo, Saint, 354-430","","","W2268","","stoa0040.stoa019","urn:cts:latinLit:stoa0040.stoa019"
"https://catalog.digitallatin.org/dll-work/W2266","","","LLT-A","","","","","Augustine, of Hippo, Saint, 354-430","","","W2266","","stoa0040.stoa024","urn:cts:latinLit:stoa0040.stoa024"
"https://catalog.digitallatin.org/dll-work/W2230","","","LLT-A","","","","","Augustine, of Hippo, Saint, 354-430","","","W2230","","stoa0040.stoa026","urn:cts:latinLit:stoa0040.stoa026"
"https://catalog.digitallatin.org/dll-work/W2263","","","LLT-A","","","","","Augustine, of Hippo, Saint, 354-430","","","W2263","","",""
"https://catalog.digitallatin.org/dll-work/W2271","","","LLT-A","","","","","Augustine, of Hippo, Saint, 354-430","","","W2271","","stoa0040.stoa015a","urn:cts:latinLit:stoa0040.stoa015a"
"https://catalog.digitallatin.org/dll-work/W2247","","","LLT-A;Perseus Catalog","","","","","Augustine, of Hippo, Saint, 354-430","","","W2247","","stoa0040.stoa021a","urn:cts:latinLit:stoa0040.stoa021a"
"https://catalog.digitallatin.org/dll-work/W2293","","","LLT-A","","","","","Augustine, of Hippo, Saint, 354-430","","","W2293","","stoa0040.stoa030","urn:cts:latinLit:stoa0040.stoa030"
"https://catalog.digitallatin.org/dll-work/W2292","","","LLT-A","","","","","Augustine, of Hippo, Saint, 354-430","","","W2292","","stoa0040.stoa033a","urn:cts:latinLit:stoa0040.stoa033a"
"https://catalog.digitallatin.org/dll-work/W2296","","","LLT-A","","","","","Augustine, of Hippo, Saint, 354-430","","","W2296","","stoa0040.stoa037","urn:cts:latinLit:stoa0040.stoa037"
"https://catalog.digitallatin.org/dll-work/W2294","","","LLT-A","","","","","Augustine, of Hippo, Saint, 354-430","","","W2294","","stoa0040.stoa037d","urn:cts:latinLit:stoa0040.stoa037d"
"https://catalog.digitallatin.org/dll-work/W2289","","","LLT-A","","","","","Augustine, of Hippo, Saint, 354-430","","","W2289","","stoa0040.stoa039","urn:cts:latinLit:stoa0040.stoa039"
"https://catalog.digitallatin.org/dll-work/W2299","","","LLT-A","","","","","Augustine, of Hippo, Saint, 354-430","","","W2299","","stoa0040.stoa040","urn:cts:latinLit:stoa0040.stoa040"
"https://catalog.digitallatin.org/dll-work/W2253","","","LLT-A","","","","","Augustine, of Hippo, Saint, 354-430","","","W2253","","stoa0040.stoa001a","urn:cts:latinLit:stoa0040.stoa001a"
"https://catalog.digitallatin.org/dll-work/W2245","","","LLT-A","","","","","Augustine, of Hippo, Saint, 354-430","","","W2245","","stoa0040.stoa080d","urn:cts:latinLit:stoa0040.stoa080d"
"https://catalog.digitallatin.org/dll-work/W2259","","","LLT-A","","","","","Augustine, of Hippo, Saint, 354-430","","","W2259","","stoa0040.stoa016","urn:cts:latinLit:stoa0040.stoa016"
"https://catalog.digitallatin.org/dll-work/W2257","","","LLT-A","","","","","Augustine, of Hippo, Saint, 354-430","","","W2257","","stoa0040.stoa021","urn:cts:latinLit:stoa0040.stoa021"
"https://catalog.digitallatin.org/dll-work/W2255","","","LLT-A","","","","","Augustine, of Hippo, Saint, 354-430","","","W2255","","stoa0040.stoa024b","urn:cts:latinLit:stoa0040.stoa024b"
"https://catalog.digitallatin.org/dll-work/W2246","","","LLT-A","","","","","Augustine, of Hippo, Saint, 354-430","","","W2246","","stoa0040.stoa025","urn:cts:latinLit:stoa0040.stoa025"
"https://catalog.digitallatin.org/dll-work/W2303","","","LLT-A","","","","","Augustine, of Hippo, Saint, 354-430","","","W2303","","stoa0040.stoa031","urn:cts:latinLit:stoa0040.stoa031"
"https://catalog.digitallatin.org/dll-work/W2301","","","LLT-A","","","","","Augustine, of Hippo, Saint, 354-430","","","W2301","","stoa0040.stoa034","urn:cts:latinLit:stoa0040.stoa034"
"https://catalog.digitallatin.org/dll-work/W2288","","","LLT-A","C.D. (OLD)","","","","Augustine, of Hippo, Saint, 354-430","","","W2288","","stoa0040.stoa003","urn:cts:latinLit:stoa0040.stoa003"
"https://catalog.digitallatin.org/dll-work/W2302","","","LLT-A","","","","","Augustine, of Hippo, Saint, 354-430","","","W2302","","stoa0040.stoa038","urn:cts:latinLit:stoa0040.stoa038"
"https://catalog.digitallatin.org/dll-work/W2295","","","LLT-A","","","","","Augustine, of Hippo, Saint, 354-430","","","W2295","","stoa0040.stoa006","urn:cts:latinLit:stoa0040.stoa006"
"https://catalog.digitallatin.org/dll-work/W2274","","","LLT-A","","","","","Augustine, of Hippo, Saint, 354-430","","","W2274","","",""
"https://catalog.digitallatin.org/dll-work/W2276","","","LLT-A","","","","","Augustine, of Hippo, Saint, 354-430","","","W2276","","stoa0040.stoa024a","urn:cts:latinLit:stoa0040.stoa024a"
"https://catalog.digitallatin.org/dll-work/W2312","","","LLT-A","","","","","Augustine, of Hippo, Saint, 354-430","","","W2312","","stoa0040.stoa028","urn:cts:latinLit:stoa0040.stoa028"
"https://catalog.digitallatin.org/dll-work/W2309","","","LLT-A","","","","","Augustine, of Hippo, Saint, 354-430","","","W2309","","stoa0040.stoa036","urn:cts:latinLit:stoa0040.stoa036"
"https://catalog.digitallatin.org/dll-work/W2329","","","LLT-A","","","","","Augustine, of Hippo, Saint, 354-430","","","W2329","","stoa0040.stoa035","urn:cts:latinLit:stoa0040.stoa035"
"https://catalog.digitallatin.org/dll-work/W2326","","","LLT-A","","","","","Augustine, of Hippo, Saint, 354-430","","","W2326","","stoa0040.stoa037a","urn:cts:latinLit:stoa0040.stoa037a"
"https://catalog.digitallatin.org/dll-work/W2308","","","LLT-A","","","","","Augustine, of Hippo, Saint, 354-430","","","W2308","","stoa0040.stoa038a","urn:cts:latinLit:stoa0040.stoa038a"
"https://catalog.digitallatin.org/dll-work/W2287","","","LLT-A","","","","","Augustine, of Hippo, Saint, 354-430","","","W2287","","stoa0040.stoa041","urn:cts:latinLit:stoa0040.stoa041"
"https://catalog.digitallatin.org/dll-work/W2334","","","LLT-A","","","","","Augustine, of Hippo, Saint, 354-430","","","W2334","","stoa0040.stoa027","urn:cts:latinLit:stoa0040.stoa027"
"https://catalog.digitallatin.org/dll-work/W2333","","","LLT-A","","","","","Augustine, of Hippo, Saint, 354-430","","","W2333","","stoa0040.stoa030a","urn:cts:latinLit:stoa0040.stoa030a"
"https://catalog.digitallatin.org/dll-work/W2335","","","LLT-A","","","","","Augustine, of Hippo, Saint, 354-430","","","W2335","","stoa0040.stoa037b","urn:cts:latinLit:stoa0040.stoa037b"
"https://catalog.digitallatin.org/dll-work/W2331","","","LLT-A","","","","","Augustine, of Hippo, Saint, 354-430","","","W2331","","stoa0040.stoa037e","urn:cts:latinLit:stoa0040.stoa037e"
"https://catalog.digitallatin.org/dll-work/W2337","","","LLT-A","","","","","Augustine, of Hippo, Saint, 354-430","","","W2337","","stoa0040.stoa035a","urn:cts:latinLit:stoa0040.stoa035a"
"https://catalog.digitallatin.org/dll-work/W3746","","","Perseus Catalog","","","","","Athanasius, Saint, Patriarch of Alexandria","","","W3746","","stoa0038.stoa002","urn:cts:latinLit:stoa0038.stoa002"
"https://catalog.digitallatin.org/dll-work/W2285","","Contra Mendacium Ad Consentium  ","LLT-A","","","","","Augustine, of Hippo, Saint, 354-430","","","W2285","","stoa0040.stoa029","urn:cts:latinLit:stoa0040.stoa029"
"https://catalog.digitallatin.org/dll-work/W2284","","","LLT-A","","","","","Augustine, of Hippo, Saint, 354-430","","","W2284","","stoa0040.stoa032","urn:cts:latinLit:stoa0040.stoa032"
"https://catalog.digitallatin.org/dll-work/W2280","","","LLT-A","","","","","Augustine, of Hippo, Saint, 354-430","","","W2280","","stoa0040.stoa002","urn:cts:latinLit:stoa0040.stoa002"
"https://catalog.digitallatin.org/dll-work/W2279","","","LLT-A","","","","","Augustine, of Hippo, Saint, 354-430","","","W2279","","stoa0040.stoa037c","urn:cts:latinLit:stoa0040.stoa037c"
"https://catalog.digitallatin.org/dll-work/W2286","","","LLT-A","","","","","Augustine, of Hippo, Saint, 354-430","","","W2286","","stoa0040.stoa004","urn:cts:latinLit:stoa0040.stoa004"
"https://catalog.digitallatin.org/dll-work/W2281","","","LLT-A","","","","","Augustine, of Hippo, Saint, 354-430","","","W2281","","stoa0040.stoa005","urn:cts:latinLit:stoa0040.stoa005"
"https://catalog.digitallatin.org/dll-work/W2231","","","LLT-A","","","","","Augustine, of Hippo, Saint, 354-430","","","W2231","","stoa0040.stoa023","urn:cts:latinLit:stoa0040.stoa023"
"https://catalog.digitallatin.org/dll-work/W5289","","","LLT-A","","","","","Augustine, of Hippo, Saint, 354-430","","","W5289","","stoa0040.stoa001","urn:cts:latinLit:stoa0040.stoa001"
"https://catalog.digitallatin.org/dll-work/W5288","","","LLT-A","","","","","Augustine, of Hippo, Saint, 354-430","","","W5288","","stoa0040.stoa020","urn:cts:latinLit:stoa0040.stoa020"
"https://catalog.digitallatin.org/dll-work/W2220","","","LLT-A","","","","","Augustine, of Hippo, Saint, 354-430","","","W2220","","stoa0040.stoa052","urn:cts:latinLit:stoa0040.stoa052"
"https://catalog.digitallatin.org/dll-work/W5290","","","LLT-A","","","","","Augustine, of Hippo, Saint, 354-430","","","W5290","","stoa0040.stoa064b","urn:cts:latinLit:stoa0040.stoa064b"
"https://catalog.digitallatin.org/dll-work/W2208","","","LLT-A","","","","","Augustine, of Hippo, Saint, 354-430","","","W2208","","stoa0040.stoa041a","urn:cts:latinLit:stoa0040.stoa041a"
"https://catalog.digitallatin.org/dll-work/W2175","","","LLT-A","","","","","Augustine, of Hippo, Saint, 354-430","","","W2175","","stoa0040.stoa048","urn:cts:latinLit:stoa0040.stoa048"
"https://catalog.digitallatin.org/dll-work/W2168","","","LLT-A","","","","","Augustine, of Hippo, Saint, 354-430","","","W2168","","stoa0040.stoa008","urn:cts:latinLit:stoa0040.stoa008"
"https://catalog.digitallatin.org/dll-work/W2207","","","LLT-A","","","","","Augustine, of Hippo, Saint, 354-430","","","W2207","","stoa0040.stoa033","urn:cts:latinLit:stoa0040.stoa033"
"https://catalog.digitallatin.org/dll-work/W2181","","","LLT-A","","","","","Augustine, of Hippo, Saint, 354-430","","","W2181","","stoa0040.stoa043","urn:cts:latinLit:stoa0040.stoa043"
"https://catalog.digitallatin.org/dll-work/W2178","","","LLT-A","","","","","Augustine, of Hippo, Saint, 354-430","","","W2178","","",""
"https://catalog.digitallatin.org/dll-work/W2216","","","LLT-A","","","","","Augustine, of Hippo, Saint, 354-430","","","W2216","","stoa0040.stoa042","urn:cts:latinLit:stoa0040.stoa042"
"https://catalog.digitallatin.org/dll-work/W2226","","","LLT-A","","","","","Augustine, of Hippo, Saint, 354-430","","","W2226","","stoa0040.stoa042a","urn:cts:latinLit:stoa0040.stoa042a"
"https://catalog.digitallatin.org/dll-work/W2205","","","LLT-A","","","","","Augustine, of Hippo, Saint, 354-430","","","W2205","","stoa0040.stoa046","urn:cts:latinLit:stoa0040.stoa046"
"https://catalog.digitallatin.org/dll-work/W2213","","","LLT-A","","","","","Augustine, of Hippo, Saint, 354-430","","","W2213","","stoa0040.stoa046a","urn:cts:latinLit:stoa0040.stoa046a"
"https://catalog.digitallatin.org/dll-work/W2203","","","LLT-A","","","","","Augustine, of Hippo, Saint, 354-430","","","W2203","","stoa0040.stoa007","urn:cts:latinLit:stoa0040.stoa007"
"https://catalog.digitallatin.org/dll-work/W2211","","","LLT-A","","","","","Augustine, of Hippo, Saint, 354-430","","","W2211","","stoa0040.stoa050","urn:cts:latinLit:stoa0040.stoa050"
"https://catalog.digitallatin.org/dll-work/W2199","","","LLT-A","","","","","Augustine, of Hippo, Saint, 354-430","","","W2199","","stoa0040.stoa054","urn:cts:latinLit:stoa0040.stoa054"
"https://catalog.digitallatin.org/dll-work/W2215","","","LLT-A","","","","","Augustine, of Hippo, Saint, 354-430","","","W2215","","stoa0040.stoa056a","urn:cts:latinLit:stoa0040.stoa056a"
"https://catalog.digitallatin.org/dll-work/W2224","","","LLT-A","","","","","Augustine, of Hippo, Saint, 354-430","","","W2224","","stoa0040.stoa054a","urn:cts:latinLit:stoa0040.stoa054a"
"https://catalog.digitallatin.org/dll-work/W2234","","","LLT-A","","","","","Augustine, of Hippo, Saint, 354-430","","","W2234","","stoa0040.stoa058","urn:cts:latinLit:stoa0040.stoa058"
"https://catalog.digitallatin.org/dll-work/W2237","","","LLT-A","","","","","Augustine, of Hippo, Saint, 354-430","","","W2237","","stoa0040.stoa009","urn:cts:latinLit:stoa0040.stoa009"
