Author,Title,DLL Identifier,DLL Page Link
"Abelard, Peter","Theologia ‘Summi boni,’ Theologia christiana, Theologia ‘Scholarium’",W2806,https://catalog.digitallatin.org/dll-work/W2806
"Abelard, Peter",Tractatus de intellectibus,W10618,https://catalog.digitallatin.org/dll-work/W10618
"Abelard, Peter, Héloïse, 1095-1163 or 1164",Magistri Petri Abelardi et Heloisssae coniugis eius epistolae,W10624,https://catalog.digitallatin.org/dll-work/W10624
"Abelard, Peter, Héloïse, 1095-1163 or 1164",Magistri Petri Abelardi et Heloisssae coniugis eius epistolae,W10624,https://catalog.digitallatin.org/dll-work/W10624
Ablabius,Epigramma,W4491,https://catalog.digitallatin.org/dll-work/W4491
Ablabius,Epistula de iure civitatis Orcistenorum,W4470,https://catalog.digitallatin.org/dll-work/W4470
"Accius, Lucius",Carmina,W195,https://catalog.digitallatin.org/dll-work/W195
"Accius, Lucius",Praetextae,W194,https://catalog.digitallatin.org/dll-work/W194
"Accius, Lucius",Tragoediae,W222,https://catalog.digitallatin.org/dll-work/W222
"Achilles, of Spoleto",Epigramma in ecclesia S. Petri,W2358,https://catalog.digitallatin.org/dll-work/W2358
Acholius,Acta,W1962,https://catalog.digitallatin.org/dll-work/W1962
"Actorius Naso, Marcus",Historica fragmenta,W4073,https://catalog.digitallatin.org/dll-work/W4073
"Adalbéron, Bishop of Laon",Carmen ad Rotbertum regem,W3974,https://catalog.digitallatin.org/dll-work/W3974
"Adalbéron, Bishop of Laon",De Summa Fidei,W3981,https://catalog.digitallatin.org/dll-work/W3981
"Adalbéron, Bishop of Laon",Rythmus Satiricus,W3934,https://catalog.digitallatin.org/dll-work/W3934
"Adam, of Buckfield, approximately 1220-approximately 1294",In Aristitotelis De somno et uigilia,W2690,https://catalog.digitallatin.org/dll-work/W2690
"Adam, of Buckfield, approximately 1220-approximately 1294",In Aristotelis De diuinatione per somnum,W2692,https://catalog.digitallatin.org/dll-work/W2692
"Adam, of Buckfield, approximately 1220-approximately 1294",In Aristotelis De somniis,W2671,https://catalog.digitallatin.org/dll-work/W2671
"Adam, von Bremen",Gesta Hammaburgensis ecclesiae pontificum,W1443,https://catalog.digitallatin.org/dll-work/W1443
"Adamnan, Saint",De locis sanctis,W1658,https://catalog.digitallatin.org/dll-work/W1658
"Adamnan, Saint",Vita Sanctae Columbae,W1656,https://catalog.digitallatin.org/dll-work/W1656
"Adémar, de Chabannes",Chronicon,W5096,https://catalog.digitallatin.org/dll-work/W5096
"Adémar, de Chabannes",Historiarum libri III (-1028),W1271,https://catalog.digitallatin.org/dll-work/W1271
"Adso, Abbot of Montier-en-Der, -992",De ortu et tempore Antichristi,W595,https://catalog.digitallatin.org/dll-work/W595
"Adso, Abbot of Montier-en-Der, -992",Miracula Sancti Mansueti Tullensis,W607,https://catalog.digitallatin.org/dll-work/W607
"Adso, Abbot of Montier-en-Der, -992",Miracula Sanctorum Waldeberti et Eustasii Luxoviensia,W590,https://catalog.digitallatin.org/dll-work/W590
"Adso, Abbot of Montier-en-Der, -992",Vita Bercharii,W621,https://catalog.digitallatin.org/dll-work/W621
"Adso, Abbot of Montier-en-Der, -992",Vita sancti Basoli,W628,https://catalog.digitallatin.org/dll-work/W628
"Adso, Abbot of Montier-en-Der, -992",Vita sancti Frodoberti,W603,https://catalog.digitallatin.org/dll-work/W603
"Adso, Abbot of Montier-en-Der, -992",Vita sancti Mansueti,W589,https://catalog.digitallatin.org/dll-work/W589
"Adso, Abbot of Montier-en-Der, -992",Vita sancti Walberti,W592,https://catalog.digitallatin.org/dll-work/W592
Aelius Iunius Cordus 3rd century,Vitae,W173,https://catalog.digitallatin.org/dll-work/W173
Aelius Maurus ca. 2nd/3rd century,Fragmenta  ,W2325,https://catalog.digitallatin.org/dll-work/W2325
"Aelius Paetus Catus, Sextus 2nd century?",Fragmenta (Tripertita),W3854,https://catalog.digitallatin.org/dll-work/W3854
Aelius Sabinus,Fragmenta,W2431,https://catalog.digitallatin.org/dll-work/W2431
"Aelius Tubero, Q. (Quintus)",Historiae,W2035,https://catalog.digitallatin.org/dll-work/W2035
"Aelius Tubero, Q. (Quintus)","liber ad C. Oppium, fr.",W2039,https://catalog.digitallatin.org/dll-work/W2039
"Ælnoth, monk of St. Augustine, Canterbury, active 1085-1109",Vita Kanuti regis,W681,https://catalog.digitallatin.org/dll-work/W681
"Aelred, of Rievaulx, Saint, 1110-1167",Compendium speculi caritatis,W5069,https://catalog.digitallatin.org/dll-work/W5069
"Aelred, of Rievaulx, Saint, 1110-1167",De Iesu puero duodenni,W5072,https://catalog.digitallatin.org/dll-work/W5072
"Aelred, of Rievaulx, Saint, 1110-1167",De institutione inclusarum,W1535,https://catalog.digitallatin.org/dll-work/W1535
"Aelred, of Rievaulx, Saint, 1110-1167",De speculo caritatis,W1568,https://catalog.digitallatin.org/dll-work/W1568
"Aelred, of Rievaulx, Saint, 1110-1167",De spiritali amicitia,W1584,https://catalog.digitallatin.org/dll-work/W1584
"Aelred, of Rievaulx, Saint, 1110-1167",Dialogus de anima,W1545,https://catalog.digitallatin.org/dll-work/W1545
"Aelred, of Rievaulx, Saint, 1110-1167",Homiliae de oneribus propheticis Isaiae,W1555,https://catalog.digitallatin.org/dll-work/W1555
"Aelred, of Rievaulx, Saint, 1110-1167",Oratio pastoralis,W1564,https://catalog.digitallatin.org/dll-work/W1564
"Aelred, of Rievaulx, Saint, 1110-1167",Sermo de dilectione dei,W1571,https://catalog.digitallatin.org/dll-work/W1571
"Aelred, of Rievaulx, Saint, 1110-1167",Sermones I  - CLXXXII,W1580,https://catalog.digitallatin.org/dll-work/W1580
"Aemilius Asper, active 2nd century",Ars grammatica (Asper Minor) (dub.),W5346,https://catalog.digitallatin.org/dll-work/W5346
"Aemilius Asper, active 2nd century",Ars grammatica (ps. Asper) (dub.),W3649,https://catalog.digitallatin.org/dll-work/W3649
"Aemilius Asper, active 2nd century",comment. in Ter. Sall. Verg.,W3672,https://catalog.digitallatin.org/dll-work/W3672
"Aemilius Asper, active 2nd century",Grammatica Vergiliana,W3694,https://catalog.digitallatin.org/dll-work/W3694
"Aemilius Asper, active 2nd century",Vergilius,W3679,https://catalog.digitallatin.org/dll-work/W3679
"Aemilius Asper, active 2nd century",Σχήµατα λόγου (Schemata logou) olim de figuris factis per genetiuum casum,W3678,https://catalog.digitallatin.org/dll-work/W3678
Aemilius Parthenianus,Vitae Adfectatorum Tyrannidis,W4196,https://catalog.digitallatin.org/dll-work/W4196
Aemilius Sura,De Annis Populi Romani,W1726,https://catalog.digitallatin.org/dll-work/W1726
"Aethelbert I, King of Kent",Decretum De Rebus Dei Et Ecclesiae Non Abstrahendis,W1269,https://catalog.digitallatin.org/dll-work/W1269
"Aethelbert I, King of Kent",Donationes Ad Diversas Ecclesias,W5103,https://catalog.digitallatin.org/dll-work/W5103
Aethicus Ister,Cosmographia,W4930,https://catalog.digitallatin.org/dll-work/W4930
"Afranius, Lucius",Togatae,W362,https://catalog.digitallatin.org/dll-work/W362
"Africanus, Sextus Caecilius, active 2nd century",Quaestiones,W2456,https://catalog.digitallatin.org/dll-work/W2456
"Africanus, Sextus Julius",Oratio (Iulius Africanus),W3921,https://catalog.digitallatin.org/dll-work/W3921
"Agapetus I, Pope",Epistula ad Caesarium episcopum Arelatensem,W3669,https://catalog.digitallatin.org/dll-work/W3669
Agennius Urbicus,Commentum de agrorum qualitate (dub.),W5176,https://catalog.digitallatin.org/dll-work/W5176
Agennius Urbicus,Commentum de controversiis agrorum (dub.),W405,https://catalog.digitallatin.org/dll-work/W405
Agennius Urbicus,De controuersiis agrorum,W445,https://catalog.digitallatin.org/dll-work/W445
"Agius, of Corvey",Epicedium Hathumodae,W4094,https://catalog.digitallatin.org/dll-work/W4094
"Agius, of Corvey",Versus computistici,W4099,https://catalog.digitallatin.org/dll-work/W4099
"Agnellus, of Ravenna, Abbot",Ad Armenium Epistola 'De Ratione Fidei',W265,https://catalog.digitallatin.org/dll-work/W265
"Agnellus, of Ravenna, Abbot",Liber pontificalis ecclesiae Rauennatis,W5178,https://catalog.digitallatin.org/dll-work/W5178
"Agobard, Saint",Aduersum dogma Felicis,W1685,https://catalog.digitallatin.org/dll-work/W1685
"Agobard, Saint",Aduersus legem Gundobadi,W1692,https://catalog.digitallatin.org/dll-work/W1692
"Agobard, Saint",Chartula de Ludouici imperatoris poenitentia,W1700,https://catalog.digitallatin.org/dll-work/W1700
"Agobard, Saint",Contra libros quattuor Amalarii,W1727,https://catalog.digitallatin.org/dll-work/W1727
"Agobard, Saint",Contra obiectiones Fredegisi,W1675,https://catalog.digitallatin.org/dll-work/W1675
"Agobard, Saint",Contra praeceptum impium de baptismo iudaicorum mancipiorum,W1682,https://catalog.digitallatin.org/dll-work/W1682
"Agobard, Saint",De antiphonario,W1688,https://catalog.digitallatin.org/dll-work/W1688
"Agobard, Saint",De baptismo mancipiorum Iudaeorum,W1697,https://catalog.digitallatin.org/dll-work/W1697
"Agobard, Saint",De cauendo conuictu et societate iudaica,W1671,https://catalog.digitallatin.org/dll-work/W1671
"Agobard, Saint",De dispensatione ecclesiasticarum rerum,W1732,https://catalog.digitallatin.org/dll-work/W1732
"Agobard, Saint",De diuinis sententiis contra iudicium dei,W1680,https://catalog.digitallatin.org/dll-work/W1680
"Agobard, Saint",De diuisione imperii,W1687,https://catalog.digitallatin.org/dll-work/W1687
"Agobard, Saint",De fidei ueritate et totius boni institutione,W1694,https://catalog.digitallatin.org/dll-work/W1694
"Agobard, Saint",De grandine et tonitruis,W1669,https://catalog.digitallatin.org/dll-work/W1669
"Agobard, Saint",De iniustitiis,W1729,https://catalog.digitallatin.org/dll-work/W1729
"Agobard, Saint",De insolentia Iudaeorum,W1678,https://catalog.digitallatin.org/dll-work/W1678
"Agobard, Saint",De iudaicis superstitionibus et erroribus,W1686,https://catalog.digitallatin.org/dll-work/W1686
"Agobard, Saint",De modo regiminis ecclesiastici,W1693,https://catalog.digitallatin.org/dll-work/W1693
"Agobard, Saint",De picturis et imaginibus,W1701,https://catalog.digitallatin.org/dll-work/W1701
"Agobard, Saint",De priuilegio apostolicae sedis,W1728,https://catalog.digitallatin.org/dll-work/W1728
"Agobard, Saint",De priuilegio et iure sacerdotii,W1704,https://catalog.digitallatin.org/dll-work/W1704
"Agobard, Saint",De quorundam inlusione signorum,W1684,https://catalog.digitallatin.org/dll-work/W1684
"Agobard, Saint",De spe et timore,W1690,https://catalog.digitallatin.org/dll-work/W1690
"Agobard, Saint",Liber apologeticus,W1699,https://catalog.digitallatin.org/dll-work/W1699
"Agobard, Saint",Libri duo pro filiis et contra Iudith uxorem Ludovici Pii,W1677,https://catalog.digitallatin.org/dll-work/W1677
"Agrippina, Minor, 15-59",Fragmenta,W1511,https://catalog.digitallatin.org/dll-work/W1511
"Agroecius, Bishop of Sens",Ars de orthographia,W3388,https://catalog.digitallatin.org/dll-work/W3388
"Aimoin, de Fleury, approximately 960-approximately 1010",Historia Francorum: Continuatio Sancti Germani Parisiensis  (1125-1167),W2943,https://catalog.digitallatin.org/dll-work/W2943
"Aimoin, de Fleury, approximately 960-approximately 1010",Miracula Sancti Benedicti,W2969,https://catalog.digitallatin.org/dll-work/W2969
"Alan, of Tewkesbury",Vita Sancti Thomae archiepiscopi Cantuariensis,W5322,https://catalog.digitallatin.org/dll-work/W5322
"Alanus, de Insulis",Anticlaudianus,W1124,https://catalog.digitallatin.org/dll-work/W1124
"Alanus, de Insulis",De planctu naturae,W1130,https://catalog.digitallatin.org/dll-work/W1130
"Alanus, de Insulis",Summa 'Quoniam homines',W1113,https://catalog.digitallatin.org/dll-work/W1113
"Alberic, of Settefrati, 1101-1154?",De dictamine,W3620,https://catalog.digitallatin.org/dll-work/W3620
"Alberic, of Settefrati, 1101-1154?",Sermo In Sanctam Scholaticam,W3626,https://catalog.digitallatin.org/dll-work/W3626
"Albert, of Aachen, active 11th-12th century",Historia Hierosolymitanae expeditionis,W4195,https://catalog.digitallatin.org/dll-work/W4195
"Albert, von Stade, -approximately 1260",Troilus,W4147,https://catalog.digitallatin.org/dll-work/W4147
"Albertano, da Brescia, active 13th century",De Amore et Dilectione Dei,W2968,https://catalog.digitallatin.org/dll-work/W2968
"Albertano, da Brescia, active 13th century",Liber consolationis et consilii,W2957,https://catalog.digitallatin.org/dll-work/W2957
"Albertano, da Brescia, active 13th century",Sermones,W2942,https://catalog.digitallatin.org/dll-work/W2942
"Albertano, da Brescia, active 13th century",Tractatus de arte loquendi et tacendi,W2947,https://catalog.digitallatin.org/dll-work/W2947
"Alberti, Leon Battista, 1404-1472",Amator,W2825,https://catalog.digitallatin.org/dll-work/W2825
"Alberti, Leon Battista, 1404-1472",Apologi centum,W2837,https://catalog.digitallatin.org/dll-work/W2837
"Alberti, Leon Battista, 1404-1472",Canis,W2831,https://catalog.digitallatin.org/dll-work/W2831
"Alberti, Leon Battista, 1404-1472",De equo animante,W2818,https://catalog.digitallatin.org/dll-work/W2818
"Alberti, Leon Battista, 1404-1472",De pictura,W2816,https://catalog.digitallatin.org/dll-work/W2816
"Alberti, Leon Battista, 1404-1472",De porcaria conjuratione,W2796,https://catalog.digitallatin.org/dll-work/W2796
"Alberti, Leon Battista, 1404-1472",Momus,W2798,https://catalog.digitallatin.org/dll-work/W2798
"Alberti, Leon Battista, 1404-1472",Musca,W2813,https://catalog.digitallatin.org/dll-work/W2813
"Alberti, Leon Battista, 1404-1472",Philodoxeos fabula,W2836,https://catalog.digitallatin.org/dll-work/W2836
"Alberti, Leon Battista, 1404-1472",Pontifex,W2830,https://catalog.digitallatin.org/dll-work/W2830
"Alberti, Leon Battista, 1404-1472",Vita,W2844,https://catalog.digitallatin.org/dll-work/W2844
"Alberti, Leon Battista, 1404-1472",Vita S. Potiti,W2823,https://catalog.digitallatin.org/dll-work/W2823
"Albertus, de Saxonia, -1390",Ars Dictandi,W3758,https://catalog.digitallatin.org/dll-work/W3758
"Albertus, de Saxonia, -1390",Quaestiones on the Posterior Analytics,W4941,https://catalog.digitallatin.org/dll-work/W4941
Albinovanus Pedo,Carmina,W1874,https://catalog.digitallatin.org/dll-work/W1874
Albinovanus Pedo,Fragmenta,W1824,https://catalog.digitallatin.org/dll-work/W1824
Albinus,De Metris,W4107,https://catalog.digitallatin.org/dll-work/W4107
Albinus,Rerum Romanarum Liber I,W4086,https://catalog.digitallatin.org/dll-work/W4086
"Albuin, of Säben-Brixen, Saint",De Antichristo quomodo nasci debeat,W2976,https://catalog.digitallatin.org/dll-work/W2976
"Alcher, de Clairvaux",De spiritu et anima,W1920,https://catalog.digitallatin.org/dll-work/W1920
"Alcimus Alethius, Latinus 355",Carmina ,W4348,https://catalog.digitallatin.org/dll-work/W4348
"Alcuin, 735-804",Carmina,W349,https://catalog.digitallatin.org/dll-work/W349
"Alcuin, 735-804",Carmina rhythmica,W360,https://catalog.digitallatin.org/dll-work/W360
"Alcuin, 735-804",Cella Alcuini,W395,https://catalog.digitallatin.org/dll-work/W395
"Alcuin, 735-804",Commentaria in sancti Iohannis Euangelium,W387,https://catalog.digitallatin.org/dll-work/W387
"Alcuin, 735-804",Conflictus veris et hiemi,W363,https://catalog.digitallatin.org/dll-work/W363
"Alcuin, 735-804",De fide sanctae trinitatis et de incarnatione Christi,W352,https://catalog.digitallatin.org/dll-work/W352
"Alcuin, 735-804",De luscinia,W339,https://catalog.digitallatin.org/dll-work/W339
"Alcuin, 735-804",Disputatio de rhetorica et de uirtutibus sapientissimi regis Karli et Albini magistri,W375,https://catalog.digitallatin.org/dll-work/W375
"Alcuin, 735-804",Epistolae,W424,https://catalog.digitallatin.org/dll-work/W424
"Alcuin, 735-804",Epitaphium,W409,https://catalog.digitallatin.org/dll-work/W409
"Alcuin, 735-804",Grammatica,W419,https://catalog.digitallatin.org/dll-work/W419
"Alcuin, 735-804",Orthographia,W384,https://catalog.digitallatin.org/dll-work/W384
"Alcuin, 735-804",Propositiones ad acuendos iuvenes,W396,https://catalog.digitallatin.org/dll-work/W396
"Alcuin, 735-804",Quaestiones de sancta trinitate,W367,https://catalog.digitallatin.org/dll-work/W367
"Alcuin, 735-804",Sequentia De Sancto Michaele,W386,https://catalog.digitallatin.org/dll-work/W386
"Alcuin, 735-804",Versus de cuculo,W394,https://catalog.digitallatin.org/dll-work/W394
"Alcuin, 735-804",Vita Richarii conf. Centulensis,W372,https://catalog.digitallatin.org/dll-work/W372
"Alcuin, 735-804",Vita Vedastis ep. Atrebatensis II,W380,https://catalog.digitallatin.org/dll-work/W380
"Alcuin, 735-804",Vita Willibrordi archiep. Traiectensis,W391,https://catalog.digitallatin.org/dll-work/W391
"Aldegati , Marcantonio",Elegie,W3975,https://catalog.digitallatin.org/dll-work/W3975
"Aldhelm, Saint",Aenigmata,W4017,https://catalog.digitallatin.org/dll-work/W4017
"Aldhelm, Saint",Carmina ad Aldhelmum,W4067,https://catalog.digitallatin.org/dll-work/W4067
"Aldhelm, Saint",Carmina ecclesiastica,W4070,https://catalog.digitallatin.org/dll-work/W4070
"Aldhelm, Saint",Chartae Aldhelmianae,W4934,https://catalog.digitallatin.org/dll-work/W4934
"Aldhelm, Saint",De metris et enigmatibus ac pedum regulis,W4080,https://catalog.digitallatin.org/dll-work/W4080
"Aldhelm, Saint",De virginitate. Carmen,W4059,https://catalog.digitallatin.org/dll-work/W4059
"Aldhelm, Saint",Epistulae,W4065,https://catalog.digitallatin.org/dll-work/W4065
"Aldhelm, Saint",Epitome tractatus Aldhelmiani,W4069,https://catalog.digitallatin.org/dll-work/W4069
"Aldhelm, Saint",Prosa de uirginitate,W4079,https://catalog.digitallatin.org/dll-work/W4079
"Aldobrandinus, de Toscanella",Insertum in Thomae de Aquino opusculo In orationem dominicam,W190,https://catalog.digitallatin.org/dll-work/W190
"Alexander III, Pope",Epistulae,W531,https://catalog.digitallatin.org/dll-work/W531
"Alexander, of Hales, approximately 1185-1245",Summa Theologica,W4347,https://catalog.digitallatin.org/dll-work/W4347
"Alexander, of Tralles, approximately 525-approximately 605",Alexandri Tralliani de medicina (practica) (dub.),W3255,https://catalog.digitallatin.org/dll-work/W3255
"Alexander, the Great, 356 B.C.-323 B.C.",Epistola Alexandri Macedonis Ad Aristotelem Magistruum suum de Itinere Suo Et De Situ Indiae,W3512,https://catalog.digitallatin.org/dll-work/W3512
"Alfanus, Saint",Charta renuntiationis,W4101,https://catalog.digitallatin.org/dll-work/W4101
"Alfanus, Saint",Explanatio Eorundem Nominum Ab Eodem Compilata,W4143,https://catalog.digitallatin.org/dll-work/W4143
"Alfanus, Saint",Interpretatio Mystica Progenitorum Christi,W4121,https://catalog.digitallatin.org/dll-work/W4121
"Alfenus Varus, P. (Publius), active 39 B.C.","Iurisprudentia, fragmenta",W1827,https://catalog.digitallatin.org/dll-work/W1827
Alfius Avitus,Belli Carthaginiensis,W2463,https://catalog.digitallatin.org/dll-work/W2463
Alfius Avitus,Carmina,W5296,https://catalog.digitallatin.org/dll-work/W5296
"Alighieri, Pietro, -1364",Comentum super poema Comedie Dantis (I red.),W4128,https://catalog.digitallatin.org/dll-work/W4128
"Alighieri, Pietro, -1364",Comentum super poema Comedie Dantis (III red.),W4093,https://catalog.digitallatin.org/dll-work/W4093
"Alulf, of Tournai",Epistolae,W1431,https://catalog.digitallatin.org/dll-work/W1431
"Alulf, of Tournai",Expositio Veteris ac Novi Testamenti,W1439,https://catalog.digitallatin.org/dll-work/W1439
"Alulf, of Tournai",Liber gregorialis,W1418,https://catalog.digitallatin.org/dll-work/W1418
"Alulf, of Tournai",Versiculi ad librum gregorialem pertinentes,W1459,https://catalog.digitallatin.org/dll-work/W1459
"Alulf, of Tournai",Versus marini,W1438,https://catalog.digitallatin.org/dll-work/W1438
Amarcius,Sermones,W1668,https://catalog.digitallatin.org/dll-work/W1668
"Ambrose, Saint, Bishop of Milan",Acta S. Sebastiani,W492,https://catalog.digitallatin.org/dll-work/W492
"Ambrose, Saint, Bishop of Milan",Ad Virginem Devotam,W553,https://catalog.digitallatin.org/dll-work/W553
"Ambrose, Saint, Bishop of Milan",Apologia Dauid altera,W5159,https://catalog.digitallatin.org/dll-work/W5159
"Ambrose, Saint, Bishop of Milan",Commentaria in Epistolas B. Pauli,W533,https://catalog.digitallatin.org/dll-work/W533
"Ambrose, Saint, Bishop of Milan",Commentarius in Cantica Canticorum,W507,https://catalog.digitallatin.org/dll-work/W507
"Ambrose, Saint, Bishop of Milan",De Abraham,W575,https://catalog.digitallatin.org/dll-work/W575
"Ambrose, Saint, Bishop of Milan",De Apologia Dauid ad Theodosium Augustum,W563,https://catalog.digitallatin.org/dll-work/W563
"Ambrose, Saint, Bishop of Milan",De benedictionibus patriarchum,W10627,https://catalog.digitallatin.org/dll-work/W10627
"Ambrose, Saint, Bishop of Milan",De bono mortis,W542,https://catalog.digitallatin.org/dll-work/W542
"Ambrose, Saint, Bishop of Milan",De Cain et Abel,W5150,https://catalog.digitallatin.org/dll-work/W5150
"Ambrose, Saint, Bishop of Milan",De Concordia Matthaei et Lucae in genealogia Christi,W515,https://catalog.digitallatin.org/dll-work/W515
"Ambrose, Saint, Bishop of Milan",De Dignitate conditionis humanae libellus,W488,https://catalog.digitallatin.org/dll-work/W488
"Ambrose, Saint, Bishop of Milan",De Dignitate sacerdotali libellus,W551,https://catalog.digitallatin.org/dll-work/W551
"Ambrose, Saint, Bishop of Milan",De excessu fratris Satyri,W5157,https://catalog.digitallatin.org/dll-work/W5157
"Ambrose, Saint, Bishop of Milan",De Excidio Urbis Hierosolymitanae Libri Quinque,W532,https://catalog.digitallatin.org/dll-work/W532
"Ambrose, Saint, Bishop of Milan",De fide libri V,W573,https://catalog.digitallatin.org/dll-work/W573
"Ambrose, Saint, Bishop of Milan",De fuga saeculi,W558,https://catalog.digitallatin.org/dll-work/W558
"Ambrose, Saint, Bishop of Milan",De Helia et ieiunio,W540,https://catalog.digitallatin.org/dll-work/W540
"Ambrose, Saint, Bishop of Milan",De Iacob et uita beata,W5148,https://catalog.digitallatin.org/dll-work/W5148
"Ambrose, Saint, Bishop of Milan",De incarnationis dominicae sacramento,W5155,https://catalog.digitallatin.org/dll-work/W5155
"Ambrose, Saint, Bishop of Milan",De institutione uirginis et sanctae Mariae uirginitate perpetua ad Eusebium,W571,https://catalog.digitallatin.org/dll-work/W571
"Ambrose, Saint, Bishop of Milan",De interpellatione Iob et Dauid,W556,https://catalog.digitallatin.org/dll-work/W556
"Ambrose, Saint, Bishop of Milan",De Ioseph,W537,https://catalog.digitallatin.org/dll-work/W537
"Ambrose, Saint, Bishop of Milan",De Isaac uel anima,W5164,https://catalog.digitallatin.org/dll-work/W5164
"Ambrose, Saint, Bishop of Milan",De Lapsu virginis consecratae liber,W506,https://catalog.digitallatin.org/dll-work/W506
"Ambrose, Saint, Bishop of Milan",De Moribus Brachmanorum,W514,https://catalog.digitallatin.org/dll-work/W514
"Ambrose, Saint, Bishop of Milan",De mysteriis,W5153,https://catalog.digitallatin.org/dll-work/W5153
"Ambrose, Saint, Bishop of Milan",De Nabuthae,W5160,https://catalog.digitallatin.org/dll-work/W5160
"Ambrose, Saint, Bishop of Milan",De Noe,W576,https://catalog.digitallatin.org/dll-work/W576
"Ambrose, Saint, Bishop of Milan",De obitu Theodosii,W564,https://catalog.digitallatin.org/dll-work/W564
"Ambrose, Saint, Bishop of Milan",De obitu Valentiniani,W544,https://catalog.digitallatin.org/dll-work/W544
"Ambrose, Saint, Bishop of Milan",De officiis,W5151,https://catalog.digitallatin.org/dll-work/W5151
"Ambrose, Saint, Bishop of Milan",De paenitentia,W5158,https://catalog.digitallatin.org/dll-work/W5158
"Ambrose, Saint, Bishop of Milan",De paradiso,W574,https://catalog.digitallatin.org/dll-work/W574
"Ambrose, Saint, Bishop of Milan",De patriarchis,W559,https://catalog.digitallatin.org/dll-work/W559
"Ambrose, Saint, Bishop of Milan",De sacramentis,W541,https://catalog.digitallatin.org/dll-work/W541
"Ambrose, Saint, Bishop of Milan",De spiritu sancto,W5149,https://catalog.digitallatin.org/dll-work/W5149
"Ambrose, Saint, Bishop of Milan",De Tobia,W5156,https://catalog.digitallatin.org/dll-work/W5156
"Ambrose, Saint, Bishop of Milan",De Trinitate,W486,https://catalog.digitallatin.org/dll-work/W486
"Ambrose, Saint, Bishop of Milan",De uiduis,W572,https://catalog.digitallatin.org/dll-work/W572
"Ambrose, Saint, Bishop of Milan",De uirginibus,W557,https://catalog.digitallatin.org/dll-work/W557
"Ambrose, Saint, Bishop of Milan",De uirginitate,W538,https://catalog.digitallatin.org/dll-work/W538
"Ambrose, Saint, Bishop of Milan",De Vocatione gentium libri duo,W550,https://catalog.digitallatin.org/dll-work/W550
"Ambrose, Saint, Bishop of Milan",De XLII mansionibus filiorum Israel tractatus (dub.),W549,https://catalog.digitallatin.org/dll-work/W549
"Ambrose, Saint, Bishop of Milan",Epigrammata,W5165,https://catalog.digitallatin.org/dll-work/W5165
"Ambrose, Saint, Bishop of Milan",Epistola de fide ad beatum Hieronymum (dub.),W605,https://catalog.digitallatin.org/dll-work/W605
"Ambrose, Saint, Bishop of Milan",Epistola de Monacho Energumeno (dub.),W5238,https://catalog.digitallatin.org/dll-work/W5238
"Ambrose, Saint, Bishop of Milan",Epistulae,W5154,https://catalog.digitallatin.org/dll-work/W5154
"Ambrose, Saint, Bishop of Milan",Epistulae ad concilium Aquileiense pertinentes,W5161,https://catalog.digitallatin.org/dll-work/W5161
"Ambrose, Saint, Bishop of Milan",Epistulae extra collectionem traditae,W555,https://catalog.digitallatin.org/dll-work/W555
"Ambrose, Saint, Bishop of Milan",Exameron,W565,https://catalog.digitallatin.org/dll-work/W565
"Ambrose, Saint, Bishop of Milan",Exhortatio uirginitatis,W545,https://catalog.digitallatin.org/dll-work/W545
